kW
0
0
0
0
0
0
0
0
1,9
7,4
18,1
20,4
21,5
19,8
9,1
5,7
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1,1
5,6
5
9,8
11,9
11,8
5,9
1,5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1,2
5,8
17,5
11,7
8,4
13,5
8,9
0,4
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1,8
2,5
6
3,7
3,2
2,4
7,8
4,4
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1,8
5,8
11,5
21
13,2
11,2
9
5,6
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1,9
3,9
13,8
8,4
9,9
7,8
5,8
2,1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1,2
3,7
6,3
1,9
1,5
1,7
1,8
0,7
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0,2
4,5
5,1
2,4
3,6
6,5
3,3
2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0,5
4,1
7
6,6
8,9
9
8,4
2,8
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0,5
2,9
4,7
3,7
9,3
4,7
2,6
2,6
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0,2
7,6
4
6,4
8,2
13,9
16,2
1,1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0,8
4,9
7,6
6,1
15,6
14,2
10,2
4,2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0,3
3
3,4
2,6
3,7
1,3
3,3
1,4
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1,4
2,9
2
2,6
2,6
3,1
1,4
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0,4
3,6
8,7
1,3
3,6
4,9
1,2
0,4
0,2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1,6
0,4
3,2
3,3
1,3
4,3
3,4
2,5
1,4
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0,5
3,5
1,8
2,1
1,9
6,5
1,1
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1,1
2,8
2,6
2
6,9
3,4
3,1
3,9
0,3
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0,8
3,2
3,5
2,6
5,7
2,9
3,9
5,1
1,6
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0,1
1,7
2,2
3,6
5,3
3
1,7
5,1
0,5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0,1
0
0
6,5
4,1
4,1
3,1
1,2
0,4
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0,9
4
3,8
3,9
4,9
4,4
3,3
1,2
1,6
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1,2
4,5
4,4
2,5
20,3
3,7
4,2
1,3
0,7
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2,9
4,7
4,3
3
4,2
3,3
4,1
1,9
0,7
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0,5
5,9
9,2
11,1
12,3
9,1
10,6
6,3
3,1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1,8
4
5,6
4,7
8,5
11,3
10,8
6,4
3,2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0,7
5,6
4,3
5,8
10,3
9,5
7,6
1,9
2,2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1,4
1,5
4,1
3,5
2,7
4,4
2,3
1,9
2,9
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
2
4,1
3,9
3,1
4,2
2,4
2,3
1,9
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1,6
2,9
2,3
4,5
2,2
3,2
9,2
3,6
1,5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
3,6
9,4
12,2
13,2
13,9
12,8
12
5,5
3,9
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2,3
8,1
0
11
12,3
13,4
9,7
7,8
1,5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2,5
10,7
15,4
19,3
22,9
23,8
16,8
0
1,8
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1,7
7,8
6
12,1
8,5
10,2
4,9
4,4
2
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0,7
1,3
9,3
